date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-01-06,2000.0,2000.0,2000.0,2000.0,20064000,10032,1,1000.0,2000.0,1391-10-17
2013-01-14,2000.0,2000.0,2000.0,2000.0,2000000,1000,1,2000.0,2000.0,1391-10-25
2013-01-15,2010.0,2010.0,2010.0,2010.0,2010000,1000,1,2000.0,2010.0,1391-10-26
2013-01-19,2000.0,2000.0,2000.0,2000.0,164100000,82050,10,2010.0,2000.0,1391-10-30
2013-10-14,2501.0,2501.0,2501.0,2501.0,293852494,117494,8,2000.0,2501.0,1392-07-22
2015-01-24,1150.0,1150.0,1150.0,1150.0,617116450,536623,11,2501.0,1150.0,1393-11-04
2016-01-16,850.0,850.0,800.0,801.0,584050600,729282,30,1150.0,800.0,1394-10-26
2017-03-14,1180.0,1180.0,1180.0,1180.0,118000000,100000,2,801.0,1180.0,1395-12-24
2017-03-27,1150.0,1150.0,1150.0,1150.0,11500000,10000,1,1180.0,1150.0,1396-01-07
2017-04-03,1100.0,1100.0,1100.0,1100.0,220000000,200000,4,1150.0,1100.0,1396-01-14
2017-04-04,1045.0,1045.0,1045.0,1045.0,313500000,300000,6,1100.0,1045.0,1396-01-15
2017-04-05,941.0,945.0,941.0,943.0,413161030,438054,10,1045.0,945.0,1396-01-16
